No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
83,BA,Boeing Co.,Industrials,Aerospace & Defense,USA,130.08B,-,215.02,1.61%,"14,305,259"
89,RTX,RTX Corp,Industrials,Aerospace & Defense,USA,122.98B,39.70,85.53,0.07%,"7,497,245"
98,LMT,Lockheed Martin Corp.,Industrials,Aerospace & Defense,USA,113.57B,16.73,457.76,-0.39%,"864,392"
161,NOC,Northrop Grumman Corp.,Industrials,Aerospace & Defense,USA,70.94B,15.44,470.48,-0.87%,"1,369,150"
171,GD,General Dynamics Corp.,Industrials,Aerospace & Defense,USA,68.04B,20.84,249.34,-0.64%,"1,409,111"
201,TDG,Transdigm Group Incorporated,Industrials,Aerospace & Defense,USA,58.47B,48.02,1057.13,0.39%,"169,619"
300,LHX,L3Harris Technologies Inc,Industrials,Aerospace & Defense,USA,38.82B,26.33,204.82,-0.44%,"956,185"
428,HEI,Heico Corp.,Industrials,Aerospace & Defense,USA,24.38B,60.71,176.38,-0.65%,"357,176"
452,HWM,Howmet Aerospace Inc,Industrials,Aerospace & Defense,USA,22.95B,36.43,55.74,1.00%,"2,023,938"
509,AXON,Axon Enterprise Inc,Industrials,Aerospace & Defense,USA,19.24B,131.24,256.79,1.06%,"345,349"
513,HEI-A,Heico Corp.,Industrials,Aerospace & Defense,USA,19.16B,47.70,138.6,0.08%,"360,915"
594,TXT,Textron Inc.,Industrials,Aerospace & Defense,USA,15.44B,16.98,78.79,0.57%,"1,262,949"
789,HII,Huntington Ingalls Industries Inc,Industrials,Aerospace & Defense,USA,10.18B,19.31,256.23,-1.52%,"286,705"
827,ESLT,Elbit Systems Ltd.,Industrials,Aerospace & Defense,Israel,9.29B,34.46,209.02,0.89%,"9,117"
865,CW,Curtiss-Wright Corp.,Industrials,Aerospace & Defense,USA,8.52B,25.01,222.77,-0.47%,"110,074"
884,WWD,Woodward Inc,Industrials,Aerospace & Defense,USA,8.18B,36.12,136.22,0.26%,"353,634"
